SIM:POS:MOTION:WRITE 51, WAYPT, 34.790151, -85.000535, 228.0, 18.8759519909583, 12.0
SIM:POS:MOTION:WRITE 52, WAYPT, 34.792978, -84.999358, 220.0, 80.81293609832716, 12.0
SIM:POS:MOTION:WRITE 53, WAYPT, 34.797926, -84.962059, 219.0, 13.341382856828943, 12.0
SIM:POS:MOTION:WRITE 54, WAYPT, 35.128151, -84.866295, 306.0, 18.25495360258975, 12.0
SIM:POS:MOTION:WRITE 55, WAYPT, 35.130866, -84.8652, 315.0, 344.8628657418457, 12.0
SIM:POS:MOTION:WRITE 56, WAYPT, 35.192812, -84.885706, 268.0, 43.85695846979371, 12.0
SIM:POS:MOTION:WRITE 57, WAYPT, 35.951615, -83.981056, 293.0, 76.2831554562332, 12.0
SIM:POS:MOTION:WRITE 58, WAYPT, 36.067021, -83.388759, 389.0, 65.26734958412112, 12.0
SIM:POS:MOTION:WRITE 59, WAYPT, 36.948445, -80.926153, 639.0, 67.74697584170366, 12.0
SIM:POS:MOTION:WRITE 60, WAYPT, 37.125278, -80.380293, 654.0, 54.47783109967338, 12.0
SIM:POS:MOTION:WRITE 61, WAYPT, 37.339351, -80.002063, 378.0, 43.72721632280843, 12.0
SIM:POS:MOTION:WRITE 62, WAYPT, 38.117956, -79.05083, 433.0, 37.358514471288004, 12.0
SIM:POS:MOTION:WRITE 63, WAYPT, 40.306254, -76.840086, 123.0, 63.68062172923936, 12.0
SIM:POS:MOTION:WRITE 64, WAYPT, 40.424684, -76.524441, 159.0, 34.44545461533744, 12.0
SIM:POS:MOTION:WRITE 65, WAYPT, 41.411048, -75.619211, 343.0, 43.33601334642452, 12.0
SIM:POS:MOTION:WRITE 66, WAYPT, 41.415196, -75.613992, 345.0, 35.97399856908169, 12.0
SIM:POS:MOTION:WRITE 67, WAYPT, 41.418409, -75.610882, 360.0, 149.97715135472447, 12.0
SIM:POS:MOTION:WRITE 68, WAYPT, 41.375644, -75.577952, 462.0, 87.8353423034896, 12.0
SIM:POS:MOTION:WRITE 69, WAYPT, 41.416554, -73.430598, 101.0, 60.35776710779197, 12.0
SIM:POS:MOTION:WRITE 70, WAYPT, 41.669169, -72.832688, 64.0, 51.022840109865115, 12.0
SIM:POS:MOTION:WRITE 71, WAYPT, 42.126996, -72.065529, 186.0, 69.77077989226825, 12.0
SIM:POS:MOTION:WRITE 72, WAYPT, 42.33867, -71.278576, 43.0, 87.05236371749152, 12.0
SIM:POS:MOTION:WRITE 73, WAYPT, 42.34668, -71.062783, 7.0, 99.99720626572099, 12.0
SIM:POS:MOTION:WRITE 74, WAYPT, 42.346357, -71.060304, 9.0, 36.86810020206735, 12.0
SIM:POS:MOTION:WRITE 75, WAYPT, 42.34954, -71.057074, 10.0, 287.45880914243094, 12.0
SIM:POS:MOTION:WRITE 76, WAYPT, 42.350927, -71.063042, 5.0, 15.80050363354161, 12.0
SIM:POS:MOTION:WRITE 77, WAYPT, 42.354348, -71.061732, 9.0, 304.8377256135456, 12.0
SIM:POS:MOTION:WRITE 78, WAYPT, 42.355174, -71.063338, 17.0, 203.02445688302902, 12.0
SIM:POS:MOTION:WRITE 79, WAYPT, 42.354548, -71.063698, 13.0, 0.0, 12.0
SIM:POS:MOTION:WRITE 80, GOTO, 3
